                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0887,                 5.0685,                 4.0604,                0.00027,                0.04782,                0.00021,                  6e-05,                 3.8474,                 4.5989,                 3.6887,             0.00025433,             0.00025433,             0.00025433
                      2,                 3.8851,                 4.4481,                 3.5617,                0.00076,                0.06376,                0.00069,                0.00019,                 3.7156,                 3.8825,                 3.5226,             0.00050814,             0.00050814,             0.00050814
                      3,                 3.5051,                 4.3159,                 3.2112,                0.00372,                0.10224,                0.00503,                0.00127,                 3.2956,                 3.6536,                 3.2205,              0.0007594,              0.0007594,              0.0007594
                      4,                 3.2202,                 4.0154,                  2.911,                0.56947,                0.02434,                0.01317,                 0.0026,                 3.1866,                 3.5203,                 2.9533,             0.00075758,             0.00075758,             0.00075758
                      5,                 3.0993,                 3.7454,                 2.7012,                0.57382,                0.02689,                0.01043,                0.00285,                 3.1178,                 4.0236,                 2.7272,             0.00075377,             0.00075377,             0.00075377
                      6,                 3.0487,                 3.5839,                 2.5502,                0.00768,                0.12178,                0.01345,                0.00403,                 3.0243,                 3.5098,                 2.6841,             0.00074997,             0.00074997,             0.00074997
                      7,                 2.9661,                 3.4908,                 2.4587,                0.14555,                 0.1115,                0.02135,                0.00625,                  2.945,                 3.2621,                 2.5827,             0.00074616,             0.00074616,             0.00074616
                      8,                 2.9447,                  3.371,                 2.3734,                0.69759,                0.04614,                0.02623,                0.00758,                 2.9009,                 3.1669,                 2.4652,             0.00074235,             0.00074235,             0.00074235
                      9,                 2.8891,                 3.3145,                 2.3546,                0.48809,                0.08182,                0.02835,                0.00851,                 2.8961,                  3.084,                  2.466,             0.00073855,             0.00073855,             0.00073855
                     10,                 2.8811,                 3.2304,                 2.2834,                0.61278,                0.05508,                0.03638,                0.01007,                 2.8294,                 3.1083,                 2.4139,             0.00073474,             0.00073474,             0.00073474
                     11,                  2.841,                 3.1933,                 2.2376,                0.31938,                0.05591,                0.02343,                0.00705,                 2.8335,                 3.0429,                 2.4011,             0.00073093,             0.00073093,             0.00073093
                     12,                 2.7894,                 3.1349,                  2.237,                0.49895,                0.07975,                0.03635,                0.01233,                 2.7951,                 2.9891,                 2.3899,             0.00072713,             0.00072713,             0.00072713
                     13,                 2.7885,                 3.1185,                 2.2056,                0.73253,                0.07766,                0.04965,                0.01592,                 2.8333,                 3.1359,                 2.4307,             0.00072332,             0.00072332,             0.00072332
                     14,                  2.787,                 3.1461,                 2.1797,                0.40564,                0.08421,                0.05179,                0.01695,                 2.7613,                 2.9818,                 2.3287,             0.00071951,             0.00071951,             0.00071951
                     15,                 2.7691,                 3.0864,                 2.1662,                0.51643,                0.10167,                0.08327,                 0.0274,                 2.7539,                  2.992,                 2.3399,             0.00071571,             0.00071571,             0.00071571
                     16,                 2.7479,                  3.051,                 2.1372,                0.42364,                 0.0806,                0.06447,                0.02211,                 2.7321,                   3.05,                 2.3048,              0.0007119,              0.0007119,              0.0007119
                     17,                 2.7313,                 3.0192,                  2.129,                0.32201,                0.07059,                0.05791,                0.01859,                 2.7127,                 3.0424,                 2.3032,              0.0007081,              0.0007081,              0.0007081
